model,phase,valid_json_rate,exact_match_rate,avg_key_jaccard,avg_precision,avg_recall,avg_f1,avg_confidence
mt5-small,before,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mt5-small,after,1.0,0.418,0.6985333333333333,0.6503333333333332,0.6856666666666666,0.6567714285714286,0.0
gpt2,before,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt2,after,1.0,0.828,0.9341666666666667,0.8988333333333333,0.9083333333333333,0.9009809523809524,0.0
smollm2_135m,before,0.322,0.0,0.00075,0.0,0.0,0.0,0.0
smollm2_135m,after,1.0,0.994,0.9983333333333333,0.9983333333333333,0.998,0.9979333333333333,0.0
